"over_text","spread_text","game_id"
Over/Under: 40.5,Line: HOU -7.5,"401671858"
Over/Under: 41.5,Line: DEN -5.5,"401671656"
Over/Under: 44.5,Line: GB -6.5,"401671768"
Over/Under: 46.5,Line: ARI -1.5,"401671775"
Over/Under: 47.5,Line: PHI -2.5,"401671794"
Over/Under: 50.5,Line: BAL -2.5,"401671689"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 45.5,Line: KC -2.5,"401671789"
Over/Under: 49.5,Line: PHI -1.5,"401671805"
Over/Under: 43.5,Line: ATL -4.5,"401671744"
Over/Under: 45.5,Line: BUF -6.5,"401671617"
Over/Under: 42.5,Line: CHI -4.5,"401671719"
Over/Under: 40.5,Line: CIN -7.5,"401671628"
Over/Under: 48.5,Line: HOU -3.5,"401671861"
Over/Under: 49.5,Line: MIA -3.5,"401671849"
Over/Under: 41.5,Line: NO -3.5,"401671734"
Over/Under: 41.5,Line: MIN -1,"401671712"
Over/Under: 40.5,Line: LAC -3,"401671659"
Over/Under: 42.5,Line: SEA -6.5,"401671664"
Over/Under: 42.5,Line: CLE -2,"401671761"
Over/Under: 41.5,Line: TB -3.5,"401671770"
Over/Under: 53.5,Line: DET -5.5,"401671792"
Over/Under: 43.5,Line: SF -3.5,"401671696"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 49.5,Line: MIA -2.5,"401671807"
Over/Under: 47.5,Line: DAL -6.5,"401671709"
Over/Under: 51.5,Line: DET -7.5,"401671721"
Over/Under: 41.5,Line: IND -2.5,"401671723"
Over/Under: 42.5,Line: NYJ -3.5,"401671636"
Over/Under: 46.5,Line: SF -3.5,"401671645"
Over/Under: 39.5,Line: SEA -3.5,"401671702"
Over/Under: 42.5,Line: WSH -1.5,"401671716"
Over/Under: 38.5,Line: LAC -4.5,"401671652"
Over/Under: 41.5,Line: JAX -3.5,"401671635"
Over/Under: 42.5,Line: BAL -8.5,"401671624"
Over/Under: 47.5,Line: ARI -1.5,"401671754"
Over/Under: 47.5,Line: KC -6.5,"401671670"
Over/Under: 45.5,Line: HOU -6.5,"401671786"
Over/Under: 46.5,Line: PHI -5.5,"401671691"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 39.5,Line: NYJ -6.5,"401671808"
Over/Under: 37.5,Line: CLE -6.5,"401671855"
Over/Under: 36.5,Line: TEN -2.5,"401671823"
Over/Under: 43.5,Line: IND -2.5,"401671865"
Over/Under: 46.5,Line: HOU -2,"401671646"
Over/Under: 48.5,Line: NO -2.5,"401671736"
Over/Under: 35.5,Line: PIT -2.5,"401671632"
Over/Under: 40.5,Line: TB -5.5,"401671741"
Over/Under: 40.5,Line: LV -5.5,"401671658"
Over/Under: 41.5,Line: SEA -4.5,"401671662"
Over/Under: 47.5,Line: BAL -1.5,"401671763"
Over/Under: 44.5,Line: SF -6.5,"401671772"
Over/Under: 51.5,Line: DET -2.5,"401671771"
Over/Under: 46.5,Line: KC -3.5,"401671793"
Over/Under: 46.5,Line: BUF -4.5,"401671682"
Over/Under: 46.5,Line: CIN -7.5,"401671490"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 44.5,Line: DAL -5.5,"401671812"
Over/Under: 42.5,Line: ATL -2.5,"401671727"
Over/Under: 40.5,Line: CHI -3.5,"401671871"
Over/Under: 44.5,Line: GB -2.5,"401671643"
Over/Under: 40.5,Line: PIT -2.5,"401671867"
Over/Under: 39.5,Line: NYJ -8.5,"401671622"
Over/Under: 43.5,Line: PHI -0.5,"401671740"
Over/Under: 47.5,Line: CIN -5.5,"401671745"
Over/Under: 46.5,Line: HOU -5.5,"401671857"
Over/Under: 48.5,Line: ARI -3.5,"401671755"
Over/Under: 41.5,Line: SF -10.5,"401671758"
Over/Under: 38.5,Line: CLE -2.5,"401671672"
Over/Under: 41.5,Line: KC -7.5,"401671674"
Over/Under: 47.5,Line: BAL -2.5,"401671783"
Over/Under: 37.5,Line: MIA -2.5,"401671683"
Over/Under: 47.5,Line: DET -4.5,"401671491"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 43.5,Line: ATL -2.5,"401671815"
Over/Under: 42.5,Line: MIN -2.5,"401671804"
Over/Under: 39.5,Line: CHI -3.5,"401671872"
Over/Under: 47.5,Line: BAL -2.5,"401671626"
Over/Under: 36.5,Line: MIA -2.5,"401671700"
Over/Under: 43.5,Line: WSH -3.5,"401671718"
Over/Under: 44.5,Line: JAX -3.5,"401671633"
Over/Under: 47.5,Line: HOU -1.5,"401671859"
Over/Under: 35.5,Line: DEN -2.5,"401671747"
Over/Under: 48.5,Line: SF -7.5,"401671756"
Over/Under: 49.5,Line: GB -2.5,"401671679"
Over/Under: 41.5,Line: SEA -7.5,"401671680"
Over/Under: 44.5,Line: PIT -2.5,"401671784"
Over/Under: 43.5,Line: KC -5.5,"401671687"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 45.5,Line: KC -2.5,"401671789"
Over/Under: 49.5,Line: PHI -1.5,"401671805"
Over/Under: 43.5,Line: ATL -4.5,"401671744"
Over/Under: 45.5,Line: BUF -6.5,"401671617"
Over/Under: 42.5,Line: CHI -4.5,"401671719"
Over/Under: 40.5,Line: CIN -7.5,"401671628"
Over/Under: 48.5,Line: HOU -3.5,"401671861"
Over/Under: 49.5,Line: MIA -3.5,"401671849"
Over/Under: 41.5,Line: NO -3.5,"401671734"
Over/Under: 41.5,Line: MIN -1,"401671712"
Over/Under: 40.5,Line: LAC -3,"401671659"
Over/Under: 42.5,Line: SEA -6.5,"401671664"
Over/Under: 42.5,Line: CLE -2,"401671761"
Over/Under: 41.5,Line: TB -3.5,"401671770"
Over/Under: 53.5,Line: DET -5.5,"401671792"
