"game_id","ref1","ref2","ref3","ref4","ref5","ref6","ref7"
"401671814",Allen Baynes,John Hussey,Carl Johnson,Tony Michalek,Max Causey,Matt Edwards,Anthony Flemming
"401671821",Roy Ellison,Pat Turner,Mearl Robinson,Don Willard,Grantis Bell,Thomas Eaton,Tra Blake
"401671821",Roy Ellison,Pat Turner,Mearl Robinson,Don Willard,Grantis Bell,Thomas Eaton,Tra Blake
"401671848",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671848",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671648",Rusty Baynes,Sean Petty,Scott Helverson,Alex Kemp,Mike Morton,Lo van Pham,Robert Richeson
"401671648",Rusty Baynes,Sean Petty,Scott Helverson,Alex Kemp,Mike Morton,Lo van Pham,Robert Richeson
"401671601",Clete Blakeman,James Coleman,Dana McKenzie,Jonah Monroe,Robin DeLorenzo,Scott Campbell,Karina Tovar
"401671601",Clete Blakeman,James Coleman,Dana McKenzie,Jonah Monroe,Robin DeLorenzo,Scott Campbell,Karina Tovar
"401671713",Carl Cheffers,Martin Hankins,Eugene Hall,Mike Carr,Nathan Jones,Daniel Gallagher,Brandon Cruse
"401671713",Carl Cheffers,Martin Hankins,Eugene Hall,Mike Carr,Nathan Jones,Daniel Gallagher,Brandon Cruse
"401671631",Tom Stephan,Paul King,Brad Freeman,Jabir Walker,Land Clark,Dominique Pender,Jeff Hutcheon
"401671631",Tom Stephan,Paul King,Brad Freeman,Jabir Walker,Land Clark,Dominique Pender,Jeff Hutcheon
"401671654",Derick Bowers,Greg Meyer,Tab Slaughter,Dale Shaw,John Jenkins,Alan Eck,Derek Anderson
"401671654",Derick Bowers,Greg Meyer,Tab Slaughter,Dale Shaw,John Jenkins,Alan Eck,Derek Anderson
"401671660",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671660",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671773",Frank Steratore,Craig Wrolstad,Rich Martinez,Steve Woods,Danny Short,Jeff Shears,Brett Bergman
"401671773",Frank Steratore,Craig Wrolstad,Rich Martinez,Steve Woods,Danny Short,Jeff Shears,Brett Bergman
"401671774",Barry Anderson,Ronald Torbert,Keith Washington,Ryan Dickson,Tony Josselyn,Brian Bolinger,Frank LeBlanc
"401671774",Barry Anderson,Ronald Torbert,Keith Washington,Ryan Dickson,Tony Josselyn,Brian Bolinger,Frank LeBlanc
"401671788",Bill Vinovich,Jimmy Buchanan,Todd Prukop,Jabir Walker,Aaron Santi,Tripp Sutter,Dale Keller
"401671788",Bill Vinovich,Jimmy Buchanan,Todd Prukop,Jabir Walker,Aaron Santi,Tripp Sutter,Dale Keller
"401671690",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Brian Sakowski
"401671690",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Brian Sakowski
"401671817",Carl Paganelli,Pat Turner,Mearl Robinson,Don Willard,Grantis Bell,Thomas Eaton,Tra Blake
"401671817",Carl Paganelli,Pat Turner,Mearl Robinson,Don Willard,Grantis Bell,Thomas Eaton,Tra Blake
"401671667",Allen Baynes,Bruce Stritesky,Max Causey,Scott Novak,Matt Edwards,Anthony Flemming,Daniel Gallagher
"401671667",Allen Baynes,Bruce Stritesky,Max Causey,Scott Novak,Matt Edwards,Anthony Flemming,Daniel Gallagher
"401671852",Dino Paganelli,Dyrol Prioleau,Jeff Seeman,Boris Cheek,Shawn Smith,Alex Moore,Jay Bilbo
"401671852",Dino Paganelli,Dyrol Prioleau,Jeff Seeman,Boris Cheek,Shawn Smith,Alex Moore,Jay Bilbo
"401671720",Carl Cheffers,Martin Hankins,Eugene Hall,Mike Carr,Nathan Jones,Robin DeLorenzo,Brandon Cruse
"401671720",Carl Cheffers,Martin Hankins,Eugene Hall,Mike Carr,Nathan Jones,Robin DeLorenzo,Brandon Cruse
"401671850",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671850",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671618",Frank Steratore,Craig Wrolstad,Rich Martinez,Steve Woods,Danny Short,Jeff Shears,Brett Bergman
"401671618",Frank Steratore,Craig Wrolstad,Rich Martinez,Steve Woods,Danny Short,Jeff Shears,Brett Bergman
"401671739",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671739",Tim Podraza,Jim Quirk,Shawn Hochuli,Jimmy Russell,Terry Killens Jr.,Patrick Holt,Jason Ledet
"401671707",Tom Stephan,Paul King,Brad Freeman,Jabir Walker,Land Clark,Dominique Pender,Jeff Hutcheon
"401671707",Tom Stephan,Paul King,Brad Freeman,Jabir Walker,Land Clark,Dominique Pender,Jeff Hutcheon
"401671856",Rick Patterson,Sarah Thomas,Brad Allen,Chad Hill,Duane Heydt,Walter Flowers,Tyree Walton
"401671856",Rick Patterson,Sarah Thomas,Brad Allen,Chad Hill,Duane Heydt,Walter Flowers,Tyree Walton
"401671750",Barry Anderson,Derick Bowers,Greg Meyer,Tab Slaughter,Dale Shaw,John Jenkins,Alan Eck
"401671750",Barry Anderson,Derick Bowers,Greg Meyer,Tab Slaughter,Dale Shaw,John Jenkins,Alan Eck
"401671760",Barry Anderson,Ronald Torbert,Keith Washington,Ryan Dickson,Tony Josselyn,Brian Bolinger,Frank LeBlanc
"401671760",Barry Anderson,Ronald Torbert,Keith Washington,Ryan Dickson,Tony Josselyn,Brian Bolinger,Frank LeBlanc
"401671600",Rusty Baynes,Sean Petty,Scott Helverson,Alex Kemp,Mike Morton,Lo van Pham,Robert Richeson
"401671600",Rusty Baynes,Sean Petty,Scott Helverson,Alex Kemp,Mike Morton,Lo van Pham,Robert Richeson
"401671671",Trawick Boger,Adrian Hill,Greg Steed,Roy Ellison,Greg Bradley,Clay Reynard,David Oliver
"401671671",Trawick Boger,Adrian Hill,Greg Steed,Roy Ellison,Greg Bradley,Clay Reynard,David Oliver
"401671599",Clete Blakeman,James Coleman,Dana McKenzie,Julian Mapp,Jonah Monroe,Scott Campbell,Karina Tovar
"401671599",Clete Blakeman,James Coleman,Dana McKenzie,Julian Mapp,Jonah Monroe,Scott Campbell,Karina Tovar
"401671795",Bill Vinovich,Jimmy Buchanan,Todd Prukop,Aaron Santi,Tripp Sutter,Dale Keller,Scott Walker
"401671795",Bill Vinovich,Jimmy Buchanan,Todd Prukop,Aaron Santi,Tripp Sutter,Dale Keller,Scott Walker
"401671685",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Brian Sakowski
"401671685",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Brian Sakowski
"401671799",Frank Steratore,Craig Wrolstad,Rich Martinez,Steve Woods,Danny Short,Jeff Shears,Brett Bergman
"401671799",Frank Steratore,Craig Wrolstad,Rich Martinez,Steve Woods,Danny Short,Jeff Shears,Brett Bergman
"401671800",Barry Anderson,Derick Bowers,Greg Meyer,Tab Slaughter,Dale Shaw,John Jenkins,Alan Eck
"401671800",Barry Anderson,Derick Bowers,Greg Meyer,Tab Slaughter,Dale Shaw,John Jenkins,Alan Eck
"401671876",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Brian Sakowski
"401671876",Terry Brown,Terrence Miles,David Meslow,Scott Novak,Mark Pellis,Mark Stewart,Brian Sakowski
"401671832",Allen Baynes,John Hussey,Carl Johnson,Tony Michalek,Max Causey,Matt Edwards,Anthony Flemming
"401671832",Allen Baynes,John Hussey,Carl Johnson,Tony Michalek,Max Causey,Matt Edwards,Anthony Flemming
"401671835",Trawick Boger,Adrian Hill,Greg Steed,Roy Ellison,Greg Bradley,Clay Reynard,David Oliver
"401671835",Trawick Boger,Adrian Hill,Greg Steed,Roy Ellison,Greg Bradley,Clay Reynard,David Oliver
"401671829",Kent Payne,Greg Yette,Bryan Neale,Kevin Codey,Bradley Rogers,Anthony Jeffries,Joe Blubaugh
"401671829",Kent Payne,Greg Yette,Bryan Neale,Kevin Codey,Bradley Rogers,Anthony Jeffries,Joe Blubaugh
"401671495",Clete Blakeman,David Coleman,James Coleman,Dana McKenzie,Julian Mapp,Jonah Monroe,Scott Campbell
"401671495",Clete Blakeman,David Coleman,James Coleman,Dana McKenzie,Julian Mapp,Jonah Monroe,Scott Campbell
"401671738",Tom Stephan,Paul King,Brad Freeman,Jabir Walker,Land Clark,Dominique Pender,Jeff Hutcheon
"401671738",Tom Stephan,Paul King,Brad Freeman,Jabir Walker,Land Clark,Dominique Pender,Jeff Hutcheon
"401671846",Bill Vinovich,Jimmy Buchanan,Todd Prukop,Aaron Santi,Tripp Sutter,Dale Keller,Scott Walker
"401671846",Bill Vinovich,Jimmy Buchanan,Todd Prukop,Aaron Santi,Tripp Sutter,Dale Keller,Scott Walker
"401671765",Rick Patterson,Sarah Thomas,Brad Allen,Chad Hill,Duane Heydt,Walter Flowers,Tyree Walton
"401671765",Rick Patterson,Sarah Thomas,Brad Allen,Chad Hill,Duane Heydt,Walter Flowers,Tyree Walton
"401671653",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671653",Greg Wilson,Clay Martin,Jerod Phillips,Dave Hawkshaw,Alonzo Ramsey III,James Carter II,Brian Perry
"401671634",Dino Paganelli,Dyrol Prioleau,Boris Cheek,Shawn Smith,Robin DeLorenzo,Alex Moore,Jay Bilbo
